Datum;Zuletzt;Eröffn.;Hoch;Tief;Vol.;+/- %
23.02.2025;22,51;22,2;22,6;22,2;869,30K;2,09%
16.02.2025;22,05;21,24;22,22;20,98;15,08M;3,16%
09.02.2025;21,38;20,97;21,68;20,25;16,77M;2,05%
02.02.2025;20,94;21,2;21,41;20,74;13,98M;-3,21%
26.01.2025;21,64;20,9;21,97;20,56;18,61M;3,57%
19.01.2025;20,9;21,26;21,51;20,78;15,76M;-1,18%
12.01.2025;21,15;20;21,25;19,47;21,41M;5,82%
05.01.2025;19,98;19,14;20,42;19,07;19,30M;5,22%
29.12.2024;18,99;19,16;19,5;18,92;7,89M;-1,51%
22.12.2024;19,28;18,82;19,33;18,64;6,52M;1,83%
15.12.2024;18,94;19,64;19,78;18,57;23,46M;-4,17%
08.12.2024;19,76;20,48;20,55;19,73;15,67M;-1,27%
01.12.2024;20,01;19,3;20,3;18,93;18,57M;3,23%
24.11.2024;19,39;19,95;20,12;18,41;26,06M;-2,09%
17.11.2024;19,8;20,45;20,63;18,97;24,89M;-2,48%
10.11.2024;20,31;24,28;24,6;19,4;48,84M;-15,68%
03.11.2024;24,08;25,05;25,39;23,62;14,51M;-4,06%
27.10.2024;25,1;25,89;26,25;24,7;14,25M;-2,52%
20.10.2024;25,75;26,3;26,51;25,53;11,08M;-2,37%
13.10.2024;26,38;26,41;26,8;25,96;16,34M;0,42%
06.10.2024;26,26;29,8;29,86;26,13;25,78M;-11,88%
29.09.2024;29,81;30,56;31,03;29,67;12,58M;-1,91%
22.09.2024;30,39;28,73;30,52;28,46;15,04M;6,02%
15.09.2024;28,66;27,08;29,08;26,5;20,21M;6,23%
08.09.2024;26,98;29,05;29,25;26,69;13,43M;-6,68%
01.09.2024;28,91;28,22;29,89;27,38;15,50M;3,75%
25.08.2024;27,86;27,9;28,3;27,33;2,22M;0,00%
18.08.2024;27,86;29,27;29,58;27,67;1,62M;-3,91%
11.08.2024;29;26,02;29,74;25,7;12,46M;11,69%
04.08.2024;25,97;27,2;27,63;25,32;2,11M;-5,08%
28.07.2024;27,35;27,75;28,08;27,07;2,92M;-0,40%
21.07.2024;27,47;26,52;27,73;26,25;2,47M;4,59%
14.07.2024;26,26;26,8;27,3;25,85;3,70M;-2,51%
07.07.2024;26,93;26;27,05;25,3;3,19M;2,94%
30.06.2024;26,17;26,83;26,95;25,05;1,72M;-0,82%
23.06.2024;26,38;26,02;26,92;25,8;2,91M;1,46%
16.06.2024;26;27,06;27,06;25,46;17,79M;-3,93%
09.06.2024;27,07;27,9;28,08;26,88;15,67M;-3,65%
02.06.2024;28,09;28,28;29,28;27,75;15,30M;-0,53%
26.05.2024;28,24;27,5;28,37;26,92;18,78M;2,21%
19.05.2024;27,63;28,85;28,96;27,09;13,78M;-3,32%
12.05.2024;28,58;29;30,41;28,41;21,75M;-1,30%
05.05.2024;28,95;28,1;29,26;27,92;13,05M;3,34%
28.04.2024;28,02;27,52;28,82;27,27;13,99M;2,26%
21.04.2024;27,4;26,75;27,7;26,72;18,99M;4,08%
14.04.2024;26,33;26,71;26,85;25,61;16,75M;-2,37%
07.04.2024;26,97;27,45;28,37;26,9;20,47M;-1,71%
31.03.2024;27,43;28,62;28,94;27,33;17,49M;-3,50%
24.03.2024;28,43;26,7;28,63;26,52;17,40M;6,30%
